pytanie|odp_A|odp_B|odp_C|odp_D
Jaka jest stolica Polski?|Warszawa|Kraków|Gdańsk|Poznań
Ile wynosi 5 + 7?|12|10|11|13
Jaki gaz jest najczęściej w otaczającym nas powietrzu?|Azot|Tlen|Dwutlenek węgla|Argon
Jak nazywa się proces zamiany cieczy w parę?|Parowanie|Kondensacja|Sublimacja|Topnienie
Jaki jest największy ocean na Ziemi?|Spokojny|Atlantycki|Indyjski|Arktyczny
Który kontynent jest największy pod względem powierzchni?|Azja|Afryka|Ameryka Północna|Europa
Jaki pierwiastek chemiczny ma symbol O?|Tlen|Złoto|Ołów|Wodór
Jak nazywa się największa planeta Układu Słonecznego?|Jowisz|Saturn|Mars|Ziemia
Ile wynosi 9 * 8?|72|64|81|56
Jaki jest najdłuższy rzeka świata?|Amazonka|Nil|Jangcy|Missisipi
Kto napisał 'Pana Tadeusza'?|Adam Mickiewicz|Juliusz Słowacki|Henryk Sienkiewicz|Bolesław Prus
W którym roku rozpoczęła się II wojna światowa?|1939|1914|1945|1929
Jaką walutą posługuje się Japonia?|Jen|Dolar|Euro|Juan
Ile centymetrów ma metr?|100|10|1000|50
Jak nazywa się instrument do mierzenia ciśnienia atmosferycznego?|Barometr|Termometr|Hygrometr|Anemometr
Co jest stolicą Francji?|Paryż|Lyon|Marsylia|Nicea
Jaki kraj słynie z wieży Eiffla?|Francja|Włochy|Hiszpania|Niemcy
Jaki jest symbol chemiczny złota?|Au|Ag|Fe|Cu
Ile wynosi pierwiastek kwadratowy z 144?|12|14|16|10
Jak nazywa się najwyższa góra świata?|Mount Everest|K2|Kangchenjunga|Lhotse
Jak nazywa się proces łączenia się jądra atomu?|Fuzja|Rozszczepienie|Reakcja chemiczna|Dyfuzja
Co to jest algorytm?|Zbiór kroków do rozwiązania problemu|Język programowania|Typ danych|System operacyjny
Ile sekund ma minuta?|60|100|50|120
Co mierzy wielkość Richtera?|Siłę trzęsienia ziemi|Ciśnienie atmosferyczne|Temperaturę|Prędkość wiatru
Który organ produkuje insulinę?|Trzustka|Wątroba|Nerki|Serce
Kto namalował 'Mona Lisę'?|Leonardo da Vinci|Pablo Picasso|Vincent van Gogh|Michelangelo
Jaki jest największy lądowy drapieżnik?|Niedźwiedź polarny|Lew|Tygrys|Hiena
W jakim kraju leży Machu Picchu?|Peru|Chile|Boliwia|Ekwador
Jakie jest główne paliwo używane w samochodach spalinowych?|Benzyna|Elektryczność|Wodór|Gaz ziemny
Co to jest HTTP?|Protokół sieciowy|Baza danych|Język programowania|System plików
Ile wynosi prędkość światła w próżni (w przybliżeniu km/s)?|300000|150000|100000|500000
Jaki kraj jest największym producentem ropy naftowej?|USA|Arabia Saudyjska|Rosja|Chiny
Jaka jest najmniejsza jednostka informacji w informatyce?|Bit|Bajt|Nybble|Kilobit
Co bada astronomia?|Wszechświat|Ciało ludzkie|Ziemię|Rośliny
Jak nazywa się główne miasto Włoch?|Rzym|Mediolan|Wenecja|Florencja
Kto napisał 'Hamleta'?|William Shakespeare|Charles Dickens|Leo Tolstoy|Mark Twain
Co to jest CPU w komputerze?|Procesor|Pamięć RAM|Dysk twardy|Karta graficzna
Ile kół ma samochód osobowy?|4|3|6|2
Jak nazywa się cząsteczka wody?|H2O|CO2|O2|NaCl
Który pierwiastek jest podstawą organicznego życia?|Węgiel|Azot|Tlen|Fosfor
Jaki jest proces fotosyntezy głównie?|Produkcja tlenu|Produkcja dwutlenku węgla|Konsumpcja tlenu|Produkcja azotu
